#WinSize=200	WinCount=14410707	DepthCount=13473993
#All-N windows count: 0
#GC%	RefCnt	DepthCnt	Mean	SmoothedMean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
71.5	8401	8400	7.55018	7.55018	0	3.695	6.745	10.45	20.55	0	101.905	0.908281
72.5	7115	7115	6.74783	6.74783	0	3.15	5.97	9.52	19.075	0	57.55	0.769336
73.5	6014	6014	6.15917	6.15917	0	2.61	5.28	8.755	17.94	0	117.01	0.650286
74.5	5154	5154	5.35446	5.35446	0	2.13	4.515	7.57	15.7	0	86.175	0.557296
75.5	4444	4444	4.7427	4.7427	0	1.71125	3.885	6.975	14.815	0	35.18	0.480524
76.5	3762	3762	4.05715	4.05715	0	1.34	3.285	6.08	13.105	0	26.74	0.40678
77.5	3386	3386	3.48239	3.48239	0	0.9175	2.77	5.215	11.6	0	24.27	0.366124
78.5	2968	2968	2.87635	2.87635	0	0.5425	2.1	4.25	9.81	0	67	0.320926
79.5	2706	2706	2.46516	2.46516	0	0.315	1.4575	3.52	8.32	0	319.195	0.292596
80.5	2334	2334	1.79167	1.79167	0	0.2	1.0325	2.695	6.41	0	13.73	0.252372
81.5	1764	1764	1.50977	1.50977	0	0.06625	0.8975	2.205	5.41	0	12.47	0.190739
82.5	1204	1204	1.13578	1.13578	0	0	0.505	1.68	4.17	0	9.82	0.130187
83.5	766	766	0.882768	0.882768	0	0	0.4275	1.17	2.875	0	8.865	0.0828266
84.5	509	509	0.699391	0.699391	0	0	0.155	1.055	2.525	0	9.21	0.0550375
85.5	338	338	0.536317	0.536317	0	0	0.0975	0.65	1.625	0	5.285	0.0365475
86.5	213	213	0.347089	0.347089	0	0	0	0.41	0.975	0	4.615	0.0230314
87.5	125	125	0.305	0.305	0	0	0	0.385	0.85	0	2.46	0.0135161
88.5	49	49	0.305816	0.182181	0	0	0	0.385	0.82	0	2.645	0.00529831
89.5	28	28	0.160357	0.220822	0	0	0	0.245	0.555	0	1.245	0.0030276
90.5	21	21	0.120714	0.130967	0.155	0	0	0	0	0	0.745	0.0022707
91.5	12	12	0.03625	0.130967	0.055	0	0	0	0	0	0.295	0.00129754
92.5	4	4	0.16625	0.130967	0.665	0	0	0	0	0	0.665	0.000432515
93.5	4	4	0.0325	0.130967	0.13	0	0	0	0	0	0.13	0.000432515
94.5	3	3	0	0.130967	0	0	0	0	0	0	0	0.000324386
95.5	2	2	44.4075	0.130967	88.815	0	0	0	0	0	88.815	0.000216257
97.5	3	3	36.1833	0.130967	0	0	0	108.55	108.55	0	108.55	0.000324386
98.5	1	1	0.065	0.130967	0.065	0	0	0	0.065	0.065	0.065	0.000108129
99.5	1	1	0	0.130967	0	0	0	0	0	0	0	0.000108129
