#WinSize=100	WinCount=28966987	DepthCount=27083939
#All-N windows count: 0
#GC%	RefCnt	DepthCnt	Mean	SmoothedMean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
32.5	909128	909127	30.3341	30.3341	7.11	23.98	29.48	35.23	52.1	0	61093.4	51.9717
33.5	955894	955879	30.5338	30.5338	7.16	23.92	29.4	35.1	51.87	0	64468.9	54.6444
34.5	991319	991316	30.4946	30.4946	7.19	23.81	29.23	34.89	51.51	0	61796.5	56.6702
35.5	1020062	1020057	30.774	30.774	7.14	23.68	29.07	34.71	51.25	0	64338.7	58.3132
36.5	1031894	1031886	30.5825	30.5825	7.08	23.5	28.85	34.45	50.87	0	63717.5	58.9894
37.5	1033142	1033137	30.2557	30.2557	7.1	23.33	28.62	34.15	50.37	0	64878.7	59.061
38.5	1020076	1020075	30.0859	30.0859	7.06	23.15	28.4	33.88	49.97	0	64878.7	58.3142
39.5	993747	993747	29.5815	29.5815	7.01	22.95	28.13	33.58	49.52	0	64878.7	56.8092
40.5	961462	961453	29.066	29.066	7	22.73	27.86	33.22	48.95	0	64878.7	54.963
41.5	920258	920255	28.6912	28.6912	6.86	22.48	27.57	32.9	48.52	0	64878.7	52.6079
42.5	877756	877755	28.1479	28.1479	6.84	22.24	27.24	32.51	47.91	0	64878.7	50.1783
43.5	837666	837663	27.5511	27.5511	6.68	21.94	26.89	32.12	47.38	0	19890.1	47.8864
44.5	803843	803840	27.0994	27.0994	6.52	21.6	26.51	31.66	46.75	0	64878.7	45.9528
45.5	774392	774390	26.5256	26.5256	6.32	21.21	26.06	31.14	46.03	0	7941.62	44.2693
46.5	749631	749629	26.0565	26.0565	5.97	20.79	25.62	30.67	45.49	0	3010.04	42.8538
47.5	728048	728046	25.601	25.601	5.72	20.37	25.13	30.14	44.79	0	15085.9	41.6199
48.5	700709	700708	25.1329	25.1329	5.48	19.98	24.71	29.65	44.15	0	9249.89	40.0571
49.5	665667	665667	24.7365	24.7365	5.26	19.62	24.3	29.2	43.56	0	14011.9	38.0539
50.5	623221	623202	24.3238	24.3238	5.07	19.3	23.95	28.79	43.02	0	4508.45	35.6264
51.5	573805	573805	23.9601	23.9601	4.88	18.99	23.6	28.4	42.51	0	7884.71	32.8025
52.5	529150	529150	23.6477	23.6477	4.65	18.68	23.28	28.04	42.08	0	17832.8	30.2497
53.5	487665	487663	23.2346	23.2346	4.36	18.35	22.93	27.68	41.67	0	4021.18	27.878
54.5	452219	452218	22.8591	22.8591	4.07	18.02	22.61	27.32	41.27	0	1154.78	25.8518
55.5	418855	418851	22.4883	22.4883	3.65	17.61	22.21	26.92	40.88	0	3313.69	23.9443
56.5	728095	728095	21.8475	21.8475	2.96	16.97	21.59	26.31	40.32	0	2741.74	41.6227
57.5	301417	301413	21.0034	21.0034	1.91	16.05	20.73	25.48	39.62	0	1991.26	17.2308
58.5	8	7	9.36918	20.6263	5.69444	6.68	8.5	12.5111	14.1139	5.69444	14.1139	0.000400166
59.5	258558	258558	20.276	20.276	0.94	15.28	20.02	24.84	39.18	0	1003.94	14.7809
60.5	215938	215935	19.5004	19.5004	0	14.4	19.2	24.1	38.65	0	3096.28	12.3443
61.5	177817	177815	18.5271	18.5271	0	13.38	18.21	23.11	37.7	0	2025.25	10.1651
62.5	147114	147113	17.5804	17.5804	0	12.36	17.16	22.09	36.68	0	1754.67	8.40995
63.5	120956	120955	16.4887	16.4887	0	11.32	16	20.99	35.49	0	628.99	6.91459
64.5	100168	100167	15.4132	15.4132	0	10.23	14.85	19.76	34.05	0	630.7	5.72621
65.5	82033	82032	14.3973	14.3973	0	9.25	13.77	18.64	32.71	0	3118.03	4.68949
66.5	67097	67097	13.2495	13.2495	0	8.32	12.61	17.37	30.93	0	339.06	3.83571
67.5	53647	53647	12.2329	12.2329	0	7.39	11.57	16.13	29.23	0	203.64	3.06682
68.5	42547	42546	11.2273	11.2273	0	6.45	10.49	14.95	27.7	0	671.97	2.43221
69.5	33994	33994	10.3394	10.3394	0	5.76	9.61	13.97	26.28	0	247.39	1.94332
70.5	27225	27225	9.6368	9.6368	0	5.1	8.91	13.2	25.34	0	215.5	1.55636
71.5	21728	21728	8.74355	8.74355	0	4.34	7.98	12.19	23.96	0	329.72	1.24212
72.5	18103	18103	7.94469	7.94469	0	3.68	7.08	11.16	22.35	0	169.62	1.03489
73.5	14774	14774	7.24636	7.24636	0	3.07	6.29	10.26	21.03	0	172.03	0.84458
74.5	12134	12134	6.5194	6.5194	0	2.44	5.49	9.47	19.97	0	152.93	0.69366
75.5	10393	10393	5.87445	5.87445	0	2.02	4.9	8.57	18.39	0	147.19	0.594133
76.5	9158	9158	5.06973	5.06973	0	1.45	4.03	7.5	16.57	0	85.42	0.523532
77.5	8005	8005	4.60328	4.60328	0	1.13	3.52	6.82	15.33	0	250.13	0.457619
78.5	7148	7148	4.10763	4.10763	0	0.82	3	6.28	14.43	0	37.14	0.408627
79.5	6085	6085	3.62915	3.62915	0	0.6	2.43	5.55	12.96	0	79.8	0.347859
80.5	4954	4954	3.11475	3.11475	0	0.3475	1.97	4.73	11.3	0	23.16	0.283203
81.5	4334	4334	2.67252	2.67252	0	0.0775	1.46	3.91	9.63	0	406.76	0.24776
82.5	3538	3538	2.14083	2.14083	0	0	0.99	3.15	7.85	0	18.02	0.202256
83.5	2866	2866	1.87503	1.87503	0	0	0.87	2.75	6.81	0	20.14	0.16384
84.5	2029	2029	1.40694	1.40694	0	0	0.54	1.86	4.65	0	39.63	0.115991
85.5	1406	1406	1.04339	1.04339	0	0	0.305	1.39	3.47	0	22.82	0.0803763
86.5	882	882	0.708968	0.708968	0	0	0.095	0.95	2.32	0	10.49	0.050421
87.5	568	568	0.482324	0.482324	0	0	0	0.59	1.46	0	7.17	0.0324706
88.5	422	422	0.345995	0.345995	0	0	0	0.45	1.12	0	7.32	0.0241243
89.5	258	258	0.317868	0.317868	0	0	0	0.27	0.66	0	5.64	0.014749
90.5	152	152	0.198947	0.198947	0	0	0	0.15	0.37	0	2.37	0.00868933
91.5	118	118	0.14322	0.14322	0	0	0	0.04	0.1	0	2.55	0.00674566
92.5	58	58	0.140345	0.0528205	0.04	0	0	0	0	0	1.96	0.00331566
93.5	32	32	0.139063	0.031766	0	0	0	0.03	0.07	0	1.41	0.00182933
94.5	12	12	0.0241667	0.14322	0.03	0	0	0	0	0	0.23	0.000685999
95.5	15	15	7.638	0.14322	0	0	0.04	0.62	1.25	0	111	0.000857499
96.5	8	8	13.6802	0.14322	0	0	0	0.06	0.06	0	80.69	0.000457333
97.5	5	5	32.944	0.14322	164.72	0	0	0	0	0	164.72	0.000285833
98.5	3	3	0	0.14322	0	0	0	0	0	0	0	0.0001715
99.5	6	6	0.03	0.14322	0.18	0	0	0	0	0	0.18	0.000343
