#WinSize=150	WinCount=19246519	DepthCount=17995432
#All-N windows count: 0
#GC%	RefCnt	DepthCnt	Mean	SmoothedMean	Small	Q1	Mid	Q3	Big	Min	Max	Refcntcal
43.5	383445	383444	27.559	27.559	8.7	22.5867	27.1467	31.8467	45.7333	0	15163.5	31.5947
44.5	728580	728579	27.0929	27.0929	8.62	22.2867	26.7933	31.4	45.0667	0	6817.6	60.0328
45.5	350133	350130	26.6342	26.6342	8.44	21.9133	26.3533	30.9	44.3733	0	2870.8	28.8497
46.5	673550	673547	26.2417	26.2417	8.14	21.5067	25.9133	30.42	43.7867	0	10069.6	55.4983
47.5	327665	327664	25.6958	25.6958	7.86	21.0467	25.3933	29.84	43.0267	0	13299.1	26.9986
48.5	644635	644633	25.1156	25.1156	7.44667	20.5533	24.8867	29.2933	42.4	0	4875.17	53.1159
49.5	319249	319249	24.6211	24.6211	7.1	20.0667	24.3667	28.7133	41.68	0	8097.65	26.3052
50.5	619280	619270	24.0692	24.0692	6.76	19.6067	23.8667	28.1733	41.02	0	15692.4	51.026
51.5	292840	292840	23.5442	23.5442	6.44	19.1867	23.44	27.6867	40.4333	0	3168.79	24.1292
52.5	531228	531225	23.1034	23.1034	6.16	18.7933	23.0067	27.22	39.86	0	2659.9	43.7714
53.5	232047	232046	22.6656	22.6656	5.88	18.3933	22.5667	26.74	39.2533	0	1710.23	19.1199
54.5	388374	388370	22.3004	22.3004	5.52667	17.9933	22.1733	26.3067	38.7733	0	3579.33	32.0005
55.5	161152	161148	21.691	21.691	4.98	17.4267	21.5867	25.7267	38.1733	0	722.287	13.2781
56.5	266945	266944	21.1672	21.1672	4.34	16.8467	21.04	25.1867	37.6933	0	2136.77	21.9954
57.5	208210	208209	20.2208	20.2208	3.15333	15.82	20.06	24.2667	36.9333	0	2946.67	17.1558
58.5	87184	87184	19.3838	19.3838	2.21333	14.9333	19.2067	23.4133	36.1067	0	722.12	7.18371
59.5	77360	77360	18.7681	18.7681	1.48667	14.2733	18.5267	22.8067	35.5933	0	3163.79	6.37424
60.5	132436	132435	17.7696	17.7696	0.506667	13.2733	17.52	21.7933	34.5733	0	1160	10.9123
61.5	56353	56352	16.7679	16.7679	0	12.1933	16.4133	20.7067	33.4333	0	1375.63	4.64324
62.5	96184	96182	15.6948	15.6948	0	11.1067	15.27	19.6067	32.3533	0	1672.63	7.92511
63.5	40929	40929	14.6234	14.6234	0	10.08	14.16	18.4067	30.8667	0	300.707	3.37243
64.5	68665	68665	13.568	13.568	0	9.12667	13.1	17.2933	29.5333	0	626.8	5.65779
65.5	28358	28357	12.4794	12.4794	0	8.17333	11.9267	16.0267	27.8	0	401.72	2.33653
66.5	45906	45905	11.5661	11.5661	0	7.30667	10.96	14.9933	26.52	0	226.76	3.78244
67.5	18645	18644	10.7227	10.7227	0	6.52	10.0933	13.9467	25.0867	0	316.193	1.53621
68.5	29792	29792	9.87262	9.87262	0	5.74	9.21333	13.06	24.04	0	251.847	2.45477
69.5	12067	12067	9.1199	9.1199	0	5.04667	8.49333	12.3533	23.3133	0	111.86	0.994285
70.5	19483	19482	8.44586	8.44586	0	4.36	7.71333	11.5667	22.3733	0	225.78	1.60526
71.5	7942	7942	7.68214	7.68214	0	3.71333	6.91	10.7133	21.2067	0	194.087	0.654397
72.5	13302	13301	7.12601	7.12601	0	3.20667	6.26667	10.0467	20.2533	0	130.373	1.09596
73.5	5593	5593	6.48004	6.48004	0	2.72	5.58667	9.28	19.1067	0	104.313	0.460847
74.5	9298	9298	5.71431	5.71431	0	2.19167	4.86	8.22	17.2533	0	98.72	0.766128
75.5	4050	4050	5.02272	5.02272	0	1.685	4.08667	7.41333	15.86	0	35.9	0.333708
76.5	7118	7118	4.5193	4.5193	0	1.34667	3.56	6.68	14.64	0	107.18	0.586502
77.5	3200	3200	3.81012	3.81012	0	0.953333	2.91	5.73333	12.8	0	22.5333	0.263671
78.5	5793	5793	3.31522	3.31522	0	0.666667	2.33333	4.89333	11.2333	0	370.153	0.477326
79.5	2660	2660	2.70904	2.70904	0	0.341667	1.72667	4.13333	9.82	0	23.2067	0.219176
80.5	4160	4160	2.2803	2.2803	0	0.193333	1.33667	3.47333	8.38	0	19.5867	0.342772
81.5	1604	1604	1.7554	1.7554	0	0.0133333	0.876667	2.58	6.42667	0	16.9733	0.132165
82.5	2432	2432	1.4037	1.4037	0	0	0.673333	2.02667	5.06667	0	14.8933	0.20039
83.5	888	888	1.0517	1.0517	0	0	0.45	1.42	3.53333	0	35.08	0.0731686
84.5	1111	1111	0.832895	0.832895	0	0	0.253333	1.08	2.7	0	23	0.0915431
85.5	381	381	0.607682	0.607682	0	0	0.0333333	0.82	2.00667	0	9.11333	0.0313933
86.5	492	492	0.442534	0.442534	0	0	0.0266667	0.62	1.54	0	7.72667	0.0405394
87.5	154	154	0.305584	0.305584	0	0	0	0.246667	0.513333	0	3.80667	0.0126891
88.5	187	187	0.185098	0.185098	0	0	0	0.166667	0.413333	0	2.97333	0.0154083
89.5	39	39	0.152991	0.0555787	0.02	0	0	0	0	0	1.27333	0.00321349
90.5	57	57	0.159766	0.185098	0	0	0	0.06	0.113333	0	1.64	0.00469663
91.5	17	17	0.074902	0.185098	0.253333	0	0	0	0	0	0.646667	0.00140075
92.5	17	17	0.125098	0.185098	0.04	0	0	0	0	0	1.93333	0.00140075
93.5	6	6	0.0455556	0.185098	0.0933333	0	0	0	0	0	0.18	0.000494382
94.5	5	5	0.101333	0.185098	0.506667	0	0	0	0	0	0.506667	0.000411985
95.5	5	5	18.8316	0.185098	0.878049	0	0	0	0	0	93.28	0.000411985
96.5	4	4	33.72	0.185098	134.88	0	0	0	0	0	134.88	0.000329588
97.5	2	2	0.06	0.185098	0.12	0	0	0	0	0	0.12	0.000164794
99.5	3	3	0	0.185098	0	0	0	0	0	0	0	0.000247191
